"achievements.xboxlive.com","achievements_service","AchievementsService"
"GET https://achievements.xboxlive.com/users/xuid({xuid})/achievements/?continuationToken={token}","achievements_result::get_next","AchievementsService::GetNext"
"GET https://achievements.xboxlive.com/users/xuid({xuid})/achievements","achievement_service::get_achievements_for_title_id","AchievementsService::GetAchievementsForTitleId"
"GET https://achievements.xboxlive.com/users/xuid({xuid})/achievements/{scid}/{achievementId}","achievement_service::get_achievement","AchievementsService::GetAchievement"
"POST https://achievements.xboxlive.com/users/xuid({xuid})/achievements/{scid}/update","achievement_service::update_achievement","AchievementsService::UpdateAchievementAsync"
"clubhub.xboxlive.com","clubs_service","ClubsService"
"clubaccounts.xboxlive.com","clubs_service","ClubsService"
"clubsearch.xboxlive.com/suggest","clubs_service","ClubsService"
"GET https://clubhub.xboxlive.com/clubs/Ids({clubId})/decoration/settings","clubs_service::get_club","ClubsService::GetClubAsync"
"POST https://clubhub.xboxlive.com/clubs/Batch","clubs_service::get_clubs","ClubsService::GetClubsAsync"
"GET https://clubaccounts.xboxlive.com/users/{userId}/clubsowned","clubs_service::get_clubs_owned","ClubsService::GetClubsOwnedAsync"
"POST https://clubaccounts.xboxlive.com/clubs/create","clubs_service::create_club","ClubsService::CreateClubAsync"
"DELETE https://clubaccounts.xboxlive.com/clubs/{clubId}","clubs_service::delete_club","ClubsService::DeleteClubAsync"
"GET https://clubhub.xboxlive.com/clubs/Xuid{xuid}","clubs_service::get_club_associations","ClubsService::GetClubAssociationsAsync"
"POST https://clubhub.xboxlive.com/clubs/recommendations","clubs_service::get_club_recommendations","ClubsService::GetClubRecommendationsAsync"
"GET https://clubhub.xboxlive.com/clubs/search","clubs_service::search_clubs","ClubsService::SearchClubsAsync"
"GET https://clubsearch.xboxlive.com/suggest","clubs_service::suggest_clubs","ClubsService::SuggestClubsAsync"
"contextualsearch.xboxlive.com","contextual_search_service","ContextualSearchService"
"GET https://contextualsearch.xboxlive.com/titles/{titleid}/configuration","contextual_search_service::get_configuration","ContextualSearchService::GetConfiguration"
"GET https://contextualsearch.xboxlive.com/titles/{titleId}/broadcasts","contextual_search_service::get_broadcasts","ContextualSearchService::GetBroadcasts"
"GET https://contextualsearch.xboxlive.com//titles/{titleId}/gameclips","contextual_search_service::get_game_clips","ContextualSearchService::GetGameClipsAsync"
